4	5	0	0	0	1
5	7	0	0	0	1
7	6	0	0	0	1
6	4	0	0	0	1
8	9	0	0	0	1
9	11	0	0	0	1
11	10	0	0	0	1
10	8	0	0	0	1
4	8	0	0	0	1
5	9	0	0	0	1
6	10	0	0	0	1
7	11	0	0	0	1
36	40	1	0	0	1
40	38	1	0	0	1
38	42	1	0	0	1
42	36	1	0	0	1
36	28	1	0	0	1
28	40	1	0	0	1
40	32	1	0	0	1
32	38	1	0	0	1
38	34	1	0	0	1
34	42	1	0	0	1
42	30	1	0	0	1
30	36	1	0	0	1
37	41	1	0	0	1
41	39	1	0	0	1
39	43	1	0	0	1
43	37	1	0	0	1
37	29	1	0	0	1
29	41	1	0	0	1
41	33	1	0	0	1
33	39	1	0	0	1
39	35	1	0	0	1
35	43	1	0	0	1
43	31	1	0	0	1
31	37	1	0	0	1
28	24	0	0	1	1
24	30	0	0	1	1
32	26	0	0	1	1
26	34	0	0	1	1
29	25	0	0	1	1
25	31	0	0	1	1
33	27	0	0	1	1
27	35	0	0	1	1
